ROI_L,ROI_R
A24rv_rostroventral_area_24_L,A24rv_rostroventral_area_24_R
A32p_pregenual_area_32_L,A32p_pregenual_area_32_R
A23v_ventral_area_23_L,A23v_ventral_area_23_R
A24cd_caudodorsal_area_24_L,A24cd_caudodorsal_area_24_R
A23c_caudal_area_23_L,A23c_caudal_area_23_R
A32sg_subgenual_area_32_L,A32sg_subgenual_area_32_R
cLinG_caudal_lingual_gyrus_L,cLinG_caudal_lingual_gyrus_R
rCunG_rostral_cuneus_gyrus_L,rCunG_rostral_cuneus_gyrus_R
cCunG_caudal_cuneus_gyrus_L,cCunG_caudal_cuneus_gyrus_R
rLinG_rostral_lingual_gyrus_L,rLinG_rostral_lingual_gyrus_R
vmPOS_ventromedial_parietooccipital_sulcus_L,vmPOS_ventromedial_parietooccipital_sulcus_R
mOccG_middle_occipital_gyrus_L,mOccG_middle_occipital_gyrus_R
V5/MT+_area_V5/MT+_L,V5/MT+_area_V5/MT+_R
OPC_occipital_polar_cortex_L,OPC_occipital_polar_cortex_R
iOccG_inferior_occipital_gyrus_L,iOccG_inferior_occipital_gyrus_R
msOccG_medial_superior_occipital_gyrus_L,msOccG_medial_superior_occipital_gyrus_R
lsOccG_lateral_superior_occipital_gyrus_L,lsOccG_lateral_superior_occipital_gyrus_R
mAmyg_medial_amygdala_L,mAmyg_medial_amygdala_R
lAmyg_lateral_amygdala_L,lAmyg_lateral_amygdala_R
rHipp_rostral_hippocampus_L,rHipp_rostral_hippocampus_R
cHipp_caudal_hippocampus_L,cHipp_caudal_hippocampus_R
vCa_ventral_caudate_L,vCa_ventral_caudate_R
GP_globus_pallidus_L,GP_globus_pallidus_R
NAC_nucleus_accumbens_L,NAC_nucleus_accumbens_R
vmPu_ventromedial_putamen_L,vmPu_ventromedial_putamen_R
dCa_dorsal_caudate_L,dCa_dorsal_caudate_R
dlPu_dorsolateral_putamen_L,dlPu_dorsolateral_putamen_R
mPFtha_medial_pre_frontal_thalamus_L,mPFtha_medial_pre_frontal_thalamus_R
mPMtha_pre_motor_thalamus_L,mPMtha_pre_motor_thalamus_R
Stha_sensory_thalamus_L,Stha_sensory_thalamus_R
rTtha_rostral_temporal_thalamus_L,rTtha_rostral_temporal_thalamus_R
PPtha_posterior_parietal_thalamus_L,PPtha_posterior_parietal_thalamus_R
Otha_occipital_thalamus_L,Otha_occipital_thalamus_R
cTtha_caudal_temporal_thalamus_L,cTtha_caudal_temporal_thalamus_R
lPFtha_lateral_pre_frontal_thalamus_L,lPFtha_lateral_pre_frontal_thalamus_R
